2022-07-16 23:53:04,P[W],DE[kWh],GE[kWh],PVu[V],DCBUS[V],PVi[A],ACu[V],ACi[A],f[Hz],T[C],iRCD[mA],S[VA],fi[]
2022-07-17 00:19:05,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:19:16,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:19:26,0,0.00,1156041.75,0.3,0.3,0.00,226.3,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:19:36,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.97,19.1,0.0,0,0.000
2022-07-17 00:19:46,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:19:56,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:20:06,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:20:16,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:20:26,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:20:36,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:20:46,0,0.00,1156041.75,0.3,0.3,0.00,221.4,0.00,49.98,19.1,0.0,0,0.000
2022-07-17 00:20:56,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:21:07,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:21:17,0,0.00,1156041.75,0.3,0.2,0.00,226.4,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:21:27,0,0.00,1156041.75,0.3,0.3,0.00,226.5,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:21:37,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:21:47,0,0.00,1156041.75,0.3,0.3,0.00,226.6,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:21:57,0,0.00,1156041.75,0.3,0.2,0.00,226.4,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:22:07,0,0.00,1156041.75,0.3,0.3,0.00,226.7,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:22:17,0,0.00,1156041.75,0.3,0.2,0.00,226.3,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:22:27,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:22:37,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:22:47,0,0.00,1156041.75,0.3,0.3,0.00,226.4,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:22:57,0,0.00,1156041.75,0.3,0.3,0.00,225.9,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:23:08,0,0.00,1156041.75,0.3,0.2,0.00,225.9,0.00,50.00,19.1,0.0,0,0.000
2022-07-17 00:23:18,0,0.00,1156041.75,0.3,0.3,0.00,225.7,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:23:28,0,0.00,1156041.75,0.3,0.3,0.00,225.5,0.00,49.99,19.1,0.0,0,0.000
2022-07-17 00:23:38,0,0.00,1156041.75,0.3,0.2,0.00,226.2,0.00,50.01,19.1,0.0,0,0.000
2022-07-17 00:23:48,0,0.00,1156041.75,0.3,0.3,0.00,226.1,0.00,49.99,19.1,0.0,0,0.000
